FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,NAVIGATION_TRTYPE,Forma di navigazione,PORT_EMB_DISEMB,Porto di imbarco e sbarco,TYPE_OF_CARGO,Tipo di carico,GOODS_TRANSPORT_NSTR,Tipo merce (NST/R 2002),GOODS_TRANSPORT_NST_2007,Tipo di merce (NST 2007),COUNTRY_PREV_NEXT,Paese di origine o destinazione,MAR_REG_LOADING,Regione italiana di imbarco,MAR_REG_UNLOADING,Regione italiana,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,IT,Italia,GHU,Merce sbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,IT,Italia,2023,315207,,
A,Annuale,IT,Italia,GHU,Merce sbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITC3,Liguria,2023,48757,,
A,Annuale,IT,Italia,GHU,Merce sbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITD3,Veneto,2023,18898,,
A,Annuale,IT,Italia,GHU,Merce sbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITD4,Friuli-Venezia Giulia,2023,48479,,
A,Annuale,IT,Italia,GHU,Merce sbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITD5,Emilia-Romagna,2023,23038,,
A,Annuale,IT,Italia,GHU,Merce sbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITE1,Toscana,2023,22892,,
A,Annuale,IT,Italia,GHU,Merce sbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITE3,Marche,2023,5610,,
A,Annuale,IT,Italia,GHU,Merce sbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITE4,Lazio,2023,11281,,
A,Annuale,IT,Italia,GHU,Merce sbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITF1,Abruzzo,2023,1542,,
A,Annuale,IT,Italia,GHU,Merce sbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITF2,Molise,2023,2,,
A,Annuale,IT,Italia,GHU,Merce sbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITF3,Campania,2023,14173,,
A,Annuale,IT,Italia,GHU,Merce sbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITF4,Puglia,2023,20948,,
A,Annuale,IT,Italia,GHU,Merce sbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITF6,Calabria,2023,23683,,
A,Annuale,IT,Italia,GHU,Merce sbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITG1,Sicilia,2023,43733,,
A,Annuale,IT,Italia,GHU,Merce sbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITG2,Sardegna,2023,24914,,
A,Annuale,IT,Italia,GHU,Merce sbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,IT_NAL,'Italy, not allocated',2023,7254,,
A,Annuale,IT,Italia,GHL,Merce imbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,IT,Italia,2023,173681,,
A,Annuale,IT,Italia,GHL,Merce imbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITC3,Liguria,2023,28010,,
A,Annuale,IT,Italia,GHL,Merce imbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITD3,Veneto,2023,4471,,
A,Annuale,IT,Italia,GHL,Merce imbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITD4,Friuli-Venezia Giulia,2023,7447,,
A,Annuale,IT,Italia,GHL,Merce imbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITD5,Emilia-Romagna,2023,3568,,
A,Annuale,IT,Italia,GHL,Merce imbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITE1,Toscana,2023,15395,,
A,Annuale,IT,Italia,GHL,Merce imbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITE3,Marche,2023,3103,,
A,Annuale,IT,Italia,GHL,Merce imbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITE4,Lazio,2023,4533,,
A,Annuale,IT,Italia,GHL,Merce imbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITF1,Abruzzo,2023,289,,
A,Annuale,IT,Italia,GHL,Merce imbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITF2,Molise,2023,88,,
A,Annuale,IT,Italia,GHL,Merce imbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITF3,Campania,2023,8239,,
A,Annuale,IT,Italia,GHL,Merce imbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITF4,Puglia,2023,11726,,
A,Annuale,IT,Italia,GHL,Merce imbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITF6,Calabria,2023,23041,,
A,Annuale,IT,Italia,GHL,Merce imbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITG1,Sicilia,2023,42098,,
A,Annuale,IT,Italia,GHL,Merce imbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITG2,Sardegna,2023,21318,,
A,Annuale,IT,Italia,GHL,Merce imbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,IT_NAL,'Italy, not allocated',2023,356,,
A,Annuale,IT,Italia,GH,Merce imbarcata e sbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,IT,Italia,2023,488888,,
A,Annuale,IT,Italia,GH,Merce imbarcata e sbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITC3,Liguria,2023,76767,,
A,Annuale,IT,Italia,GH,Merce imbarcata e sbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITD3,Veneto,2023,23369,,
A,Annuale,IT,Italia,GH,Merce imbarcata e sbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITD4,Friuli-Venezia Giulia,2023,55926,,
A,Annuale,IT,Italia,GH,Merce imbarcata e sbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITD5,Emilia-Romagna,2023,26606,,
A,Annuale,IT,Italia,GH,Merce imbarcata e sbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITE1,Toscana,2023,38287,,
A,Annuale,IT,Italia,GH,Merce imbarcata e sbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITE3,Marche,2023,8713,,
A,Annuale,IT,Italia,GH,Merce imbarcata e sbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITE4,Lazio,2023,15814,,
A,Annuale,IT,Italia,GH,Merce imbarcata e sbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITF1,Abruzzo,2023,1831,,
A,Annuale,IT,Italia,GH,Merce imbarcata e sbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITF2,Molise,2023,90,,
A,Annuale,IT,Italia,GH,Merce imbarcata e sbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITF3,Campania,2023,22412,,
A,Annuale,IT,Italia,GH,Merce imbarcata e sbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITF4,Puglia,2023,32674,,
A,Annuale,IT,Italia,GH,Merce imbarcata e sbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITF6,Calabria,2023,46724,,
A,Annuale,IT,Italia,GH,Merce imbarcata e sbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITG1,Sicilia,2023,85831,,
A,Annuale,IT,Italia,GH,Merce imbarcata e sbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITG2,Sardegna,2023,46233,,
A,Annuale,IT,Italia,GH,Merce imbarcata e sbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,IT_NAL,'Italy, not allocated',2023,7610,,
A,Annuale,IT,Italia,VN,Numero navi arrivate,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,IT,Italia,2023,411969,,
A,Annuale,IT,Italia,VN,Numero navi arrivate,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITC3,Liguria,2023,9343,,
A,Annuale,IT,Italia,VN,Numero navi arrivate,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITD3,Veneto,2023,3361,,
A,Annuale,IT,Italia,VN,Numero navi arrivate,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITD4,Friuli-Venezia Giulia,2023,2810,,
A,Annuale,IT,Italia,VN,Numero navi arrivate,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITD5,Emilia-Romagna,2023,3364,,
A,Annuale,IT,Italia,VN,Numero navi arrivate,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITE1,Toscana,2023,38091,,
A,Annuale,IT,Italia,VN,Numero navi arrivate,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITE3,Marche,2023,1905,,
A,Annuale,IT,Italia,VN,Numero navi arrivate,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITE4,Lazio,2023,7623,,
A,Annuale,IT,Italia,VN,Numero navi arrivate,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITF1,Abruzzo,2023,526,,
A,Annuale,IT,Italia,VN,Numero navi arrivate,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITF2,Molise,2023,500,,
A,Annuale,IT,Italia,VN,Numero navi arrivate,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITF3,Campania,2023,118566,,
A,Annuale,IT,Italia,VN,Numero navi arrivate,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITF4,Puglia,2023,6430,,
A,Annuale,IT,Italia,VN,Numero navi arrivate,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITF6,Calabria,2023,57692,,
A,Annuale,IT,Italia,VN,Numero navi arrivate,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITG1,Sicilia,2023,96874,,
A,Annuale,IT,Italia,VN,Numero navi arrivate,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITG2,Sardegna,2023,62937,,
A,Annuale,IT,Italia,VN,Numero navi arrivate,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,IT_NAL,'Italy, not allocated',2023,1947,,
A,Annuale,IT,Italia,GT,Stazza lorda navi arrivate - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,IT,Italia,2023,2844367,,
A,Annuale,IT,Italia,GT,Stazza lorda navi arrivate - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITC3,Liguria,2023,431875,,
A,Annuale,IT,Italia,GT,Stazza lorda navi arrivate - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITD3,Veneto,2023,64281,,
A,Annuale,IT,Italia,GT,Stazza lorda navi arrivate - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITD4,Friuli-Venezia Giulia,2023,102623,,
A,Annuale,IT,Italia,GT,Stazza lorda navi arrivate - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITD5,Emilia-Romagna,2023,54589,,
A,Annuale,IT,Italia,GT,Stazza lorda navi arrivate - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITE1,Toscana,2023,375023,,
A,Annuale,IT,Italia,GT,Stazza lorda navi arrivate - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITE3,Marche,2023,42492,,
A,Annuale,IT,Italia,GT,Stazza lorda navi arrivate - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITE4,Lazio,2023,187004,,
A,Annuale,IT,Italia,GT,Stazza lorda navi arrivate - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITF1,Abruzzo,2023,3477,,
A,Annuale,IT,Italia,GT,Stazza lorda navi arrivate - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITF2,Molise,2023,288,,
A,Annuale,IT,Italia,GT,Stazza lorda navi arrivate - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITF3,Campania,2023,308430,,
A,Annuale,IT,Italia,GT,Stazza lorda navi arrivate - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITF4,Puglia,2023,133708,,
A,Annuale,IT,Italia,GT,Stazza lorda navi arrivate - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITF6,Calabria,2023,313693,,
A,Annuale,IT,Italia,GT,Stazza lorda navi arrivate - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITG1,Sicilia,2023,471601,,
A,Annuale,IT,Italia,GT,Stazza lorda navi arrivate - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITG2,Sardegna,2023,332907,,
A,Annuale,IT,Italia,GT,Stazza lorda navi arrivate - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,IT_NAL,'Italy, not allocated',2023,22376,,
